Date,County,New Confirmed Cases,Total Confirmed Cases,New Probable and Confirmed Deaths,Total Probable and Confirmed Deaths
9/4/2020,Middlesex,63,25558,4,2075
9/4/2020,Nantucket,0,42,,
9/4/2020,Norfolk,23,9620,1,1022
9/4/2020,Plymouth,21,9174,2,745
9/4/2020,Suffolk,0,22529,1,1107
9/4/2020,Worcester,29,13551,3,1059
9/4/2020,Unknown,7,345,0,5
9/4/2020,Dukes and Nantucket,,,0,1
9/5/2020,Barnstable,3,1657,1,169
9/5/2020,Berkshire,3,672,0,46
9/5/2020,Bristol,44,9340,1,662
9/5/2020,Dukes,0,56,,
9/5/2020,Essex,67,18316,2,1251
9/5/2020,Franklin,2,396,0,66
9/5/2020,Hampden,21,7739,1,756
9/5/2020,Hampshire,3,1186,0,141
9/5/2020,Middlesex,71,25629,7,2082
9/5/2020,Nantucket,1,43,,
9/5/2020,Norfolk,34,9654,0,1022
9/5/2020,Plymouth,24,9198,1,746
9/5/2020,Suffolk,94,22623,3,1110
9/5/2020,Worcester,41,13592,0,1059
9/5/2020,Unknown,8,353,0,5
9/5/2020,Dukes and Nantucket,,,0,1
9/6/2020,Barnstable,4,1661,0,169
9/6/2020,Berkshire,0,670,0,46
9/6/2020,Bristol,25,9365,2,664
9/6/2020,Dukes,0,56,,
9/6/2020,Essex,66,18382,2,1253
9/6/2020,Franklin,0,396,0,66
9/6/2020,Hampden,23,7762,3,759
9/6/2020,Hampshire,2,1188,0,141
9/6/2020,Middlesex,83,25712,1,2083
9/6/2020,Nantucket,0,43,,
9/6/2020,Norfolk,25,9679,0,1022
9/6/2020,Plymouth,29,9227,0,746
9/6/2020,Suffolk,74,22697,0,1110
9/6/2020,Worcester,35,13627,1,1060
9/6/2020,Unknown,6,359,0,5
9/6/2020,Dukes and Nantucket,,,0,1
