"date","total_positive_cases","new_positive_cases"
"2020-07-08T00:00:00.000","1116","1"
"2020-07-09T00:00:00.000","1117","3"
"2020-07-10T00:00:00.000","1120","4"
"2020-07-11T00:00:00.000","1124","3"
"2020-07-12T00:00:00.000","1127","2"
"2020-07-13T00:00:00.000","1129","3"
"2020-07-14T00:00:00.000","1132","2"
"2020-07-15T00:00:00.000","1134","7"
"2020-07-16T00:00:00.000","1141","3"
"2020-07-17T00:00:00.000","1144","6"
"2020-07-18T00:00:00.000","1150","1"
"2020-07-19T00:00:00.000","1151","5"
"2020-07-20T00:00:00.000","1156","4"
"2020-07-21T00:00:00.000","1160","7"
"2020-07-22T00:00:00.000","1167","4"
"2020-07-23T00:00:00.000","1171","5"
"2020-07-24T00:00:00.000","1176","1"
"2020-07-25T00:00:00.000","1177","2"
"2020-07-26T00:00:00.000","1179","5"
"2020-07-27T00:00:00.000","1184","5"
"2020-07-28T00:00:00.000","1189","5"
"2020-07-29T00:00:00.000","1194","4"
"2020-07-30T00:00:00.000","1198","2"
"2020-07-31T00:00:00.000","1200","6"
"2020-08-01T00:00:00.000","1206","1"
"2020-08-02T00:00:00.000","1207","1"
"2020-08-03T00:00:00.000","1208","4"
"2020-08-04T00:00:00.000","1212","6"
"2020-08-05T00:00:00.000","1218","5"
"2020-08-06T00:00:00.000","1223","6"
"2020-08-07T00:00:00.000","1229","3"
"2020-08-08T00:00:00.000","1232","4"
"2020-08-09T00:00:00.000","1236","0"
"2020-08-10T00:00:00.000","1236","0"
"2020-08-11T00:00:00.000","1236","2"
"2020-08-12T00:00:00.000","1238","0"
